0x25140338            
0xffffffff            
0x0   0x0036E2E8      
0x1   0x00381738      
0x3   0x00649148      
0x6   0x0037D44C      
0x7   0x00374F20      
0x8   0x00384208      
0x9   0x0039CE58      
0xa   0x0039C9C0      
0xf   0x00DC830C      
0x15  0x003A8998      
0x17  0x0037500C      
0x19  0x003B055C      
0x20  0x0035CA7C      
0x21  0x0036F900      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A145BC      
0x29  0x00BFB7D0      
0x2f  0x02E534A8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C55EC      
0x3c  0x003C5990      
0x3d  0x003C4E7C      
0x3e  0x003C5C98      
:EOS:
ArpTableAddrPtr     0x02E63C00      
ConfigAddr          0x02E68998      
PingPtr             0x02928598      
SafeSpace           0x02611000      
ImgCkSum            0x8632e338      
CodeCkSum           0x6a7870d1      
TimeTablePtr        0x02e96e40
CritTablePtr        0x02e6b170
LogTablePtr         0x02e6ad60
LogOptsPtr          0x02e6b174
Printf              0x0039C9C0      
Socket              0x006547F4      
Bind                0x006555CC      
Connect             0x00656E74      
Send                0x006576B4      
Recv                0x00657CB0      
Close               0x006581C0      
Malloc              0x00384208      
Free                0x0039CE58      
Resched             0x0036F000      
:EOS:
