0x25140ac7            
0xffffffff            
0x0   0x0036FA34      
0x1   0x00382350      
0x3   0x00655CFC      
0x6   0x0037DED8      
0x7   0x00375F7C      
0x8   0x00384F64      
0x9   0x0039E3F4      
0xa   0x0039DFA0      
0xf   0x00E03E60      
0x15  0x003AA18C      
0x17  0x00376068      
0x19  0x003B1D54      
0x20  0x0035D840      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A16114      
0x29  0x00C341C4      
0x2f  0x02E584E8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C6F84      
0x3c  0x003C7328      
0x3d  0x003C6814      
0x3e  0x003C7630      
:EOS:
ArpTableAddrPtr     0x02E68C3C      
ConfigAddr          0x02E6D9D4      
PingPtr             0x02928B58      
SafeSpace           0x0264E000      
ImgCkSum            0x30ec6ac7      
CodeCkSum           0x60e051dd      
TimeTablePtr        0x02e9c44c
CritTablePtr        0x02e703c0
LogTablePtr         0x02e6ffb0
LogOptsPtr          0x02e703c4
Printf              0x0039DFA0      
Socket              0x00661628      
Bind                0x00662400      
Connect             0x00663CB4      
Send                0x006644F4      
Recv                0x00664B0C      
Close               0x0066501C      
Malloc              0x00384F64      
Free                0x0039E3F4      
Resched             0x00370000      
:EOS:
