0x251402cc            
0xffffffff            
0x0   0x0036EEEC      
0x1   0x0038282C      
0x3   0x0065200C      
0x6   0x0037E50C      
0x7   0x00375F80      
0x8   0x00385364      
0x9   0x0039DED4      
0xa   0x0039DA80      
0xf   0x00DF1594      
0x15  0x003A9C54      
0x17  0x0037606C      
0x19  0x003B181C      
0x20  0x0035D0CC      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15910      
0x29  0x00C229A4      
0x2f  0x02E58148      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C67C4      
0x3c  0x003C6B68      
0x3d  0x003C6054      
0x3e  0x003C6E70      
:EOS:
ArpTableAddrPtr     0x02E6889C      
ConfigAddr          0x02E6D634      
PingPtr             0x02928AD0      
SafeSpace           0x02641000      
ImgCkSum            0x4863a2cc      
CodeCkSum           0xde946c1e      
TimeTablePtr        0x02e9bb04
CritTablePtr        0x02e6fe10
LogTablePtr         0x02e6fa00
LogOptsPtr          0x02e6fe14
Printf              0x0039DA80      
Socket              0x0065D7D4      
Bind                0x0065E5AC      
Connect             0x0065FE60      
Send                0x006606A0      
Recv                0x00660C94      
Close               0x006611A4      
Malloc              0x00385364      
Free                0x0039DED4      
Resched             0x00370000      
:EOS:
