0x25140e77            
0xffffffff            
0x0   0x0036F2A0      
0x1   0x0038247C      
0x3   0x00654530      
0x6   0x0037E15C      
0x7   0x00375F74      
0x8   0x0038507C      
0x9   0x0039DCCC      
0xa   0x0039D878      
0xf   0x00DFE08C      
0x15  0x003A9A40      
0x17  0x00376060      
0x19  0x003B1608      
0x20  0x0035D3AC      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A54      
0x29  0x00C2ECE0      
0x2f  0x02E58188      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C65B0      
0x3c  0x003C6954      
0x3d  0x003C5E40      
0x3e  0x003C6C5C      
:EOS:
ArpTableAddrPtr     0x02E688DC      
ConfigAddr          0x02E6D674      
PingPtr             0x02928AD0      
SafeSpace           0x02645000      
ImgCkSum            0xab7dbe77      
CodeCkSum           0xa87a5036      
TimeTablePtr        0x02e9bed4
LogOptsPtr          0x02e6fe54
CritTablePtr        0x02e6fe50
LogTablePtr         0x02e6fa40
Printf              0x0039D878      
Socket              0x0065FD94      
Bind                0x00660B6C      
Connect             0x00662420      
Send                0x00662C60      
Recv                0x00663254      
Close               0x00663764      
Malloc              0x0038507C      
Free                0x0039DCCC      
Resched             0x00370000      
:EOS:
