0x25140add            
0xffffffff            
0x0   0x0036F334      
0x1   0x0038247C      
0x3   0x00654B6C      
0x6   0x0037E15C      
0x7   0x00375F74      
0x8   0x0038507C      
0x9   0x0039DD6C      
0xa   0x0039D918      
0xf   0x00DFF084      
0x15  0x003A9AE0      
0x17  0x00376060      
0x19  0x003B16A8      
0x20  0x0035D3F4      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A9C      
0x29  0x00C2F8DC      
0x2f  0x02E58348      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C6650      
0x3c  0x003C69F4      
0x3d  0x003C5EE0      
0x3e  0x003C6CFC      
:EOS:
ArpTableAddrPtr     0x02E68A9C      
ConfigAddr          0x02E6D834      
PingPtr             0x02928AD0      
SafeSpace           0x02645000      
ImgCkSum            0x81f46add      
CodeCkSum           0xca5eee51      
TimeTablePtr        0x02e9c098
LogOptsPtr          0x02e70014
CritTablePtr        0x02e70010
LogTablePtr         0x02e6fc00
Printf              0x0039D918      
Socket              0x006603D0      
Bind                0x006611A8      
Connect             0x00662A5C      
Send                0x0066329C      
Recv                0x00663890      
Close               0x00663DA0      
Malloc              0x0038507C      
Free                0x0039DD6C      
Resched             0x00370000      
:EOS:
