0x2514083b            
0xffffffff            
0x0   0x0036F4B0      
0x1   0x00382484      
0x3   0x00654E04      
0x6   0x0037E164      
0x7   0x00375F7C      
0x8   0x00385084      
0x9   0x0039DD84      
0xa   0x0039D930      
0xf   0x00E00C5C      
0x15  0x003A9AFC      
0x17  0x00376068      
0x19  0x003B16C4      
0x20  0x0035D4D0      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15FA4      
0x29  0x00C30FF0      
0x2f  0x02E584A8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C666C      
0x3c  0x003C6A10      
0x3d  0x003C5EFC      
0x3e  0x003C6D18      
:EOS:
ArpTableAddrPtr     0x02E68BFC      
ConfigAddr          0x02E6D994      
PingPtr             0x02928AD0      
SafeSpace           0x0264C000      
ImgCkSum            0xf384283b      
CodeCkSum           0xea03defe      
TimeTablePtr        0x02e9c408
LogOptsPtr          0x02e70384
CritTablePtr        0x02e70380
LogTablePtr         0x02e6ff70
Printf              0x0039D930      
Socket              0x006606CC      
Bind                0x006614A4      
Connect             0x00662D58      
Send                0x00663598      
Recv                0x00663BB0      
Close               0x006640C0      
Malloc              0x00385084      
Free                0x0039DD84      
Resched             0x00370000      
:EOS:
