0x25140212            
0xffffffff            
0x0   0x0036FA34      
0x1   0x003821BC      
0x3   0x00655994      
0x6   0x0037DD44      
0x7   0x00375DE8      
0x8   0x00384DD0      
0x9   0x0039E08C      
0xa   0x0039DC38      
0xf   0x00DE9CC0      
0x15  0x003A9E24      
0x17  0x00375ED4      
0x19  0x003B19EC      
0x20  0x0035D840      
0x21  0x00370928      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02315F54      
0x29  0x00C2D4CC      
0x2f  0x027575A8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003C6C1C      
0x3c  0x003C6FC0      
0x3d  0x003C64AC      
0x3e  0x003C72C8      
:EOS:
ArpTableAddrPtr     0x02767CFC      
ConfigAddr          0x0276CA94      
PingPtr             0x02228B58      
SafeSpace           0x01FCB000      
ImgCkSum            0x41d65212     
CodeCkSum           0x81192943      
TimeTablePtr        0x0279b4cc
LogOptsPtr          0x0276f484
CritTablePtr        0x0276f480
LogTablePtr         0x0276f070
Printf              0x0039DC38      
Socket              0x006612C0      
Bind                0x00662098      
Connect             0x0066394C      
Send                0x0066418C      
Recv                0x006647A4      
Close               0x00664CB4      
Malloc              0x00384DD0      
Free                0x0039E08C      
Resched             0x00370000      
:EOS:
