0x2514079A
0xffffffff
0x0     0x003711FC
0x1     0x003841C8
0x3     0x006597C4
0x6     0x0037FD50
0x7     0x00377DF4
0x8     0x00386DDC
0x9     0x003A03CC
0xa     0x0039FF78
0xf     0x00DF0B0C
0x15    0x003AC130
0x17    0x00377EE0
0x19    0x003B3CF8
0x20    0x0035EF74
0x21    0x00372928
0x22    0x02100850
0x23    0x00061c00
0x24    0x0008362C
0x25    0x48061c03
0x26    0x0210082C
0x28    0x0231606C
0x29    0x00C33690
0x2f    0x027575E8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02038034
0x3b    0x003C8F28
0x3c    0x003C92CC
0x3d    0x003C87B8
0x3e    0x003C95D4
0x3f    0x00C36778
:EOS:
ArpTableAddrPtr      0x02767D4C
ConfigAddr           0x0276CAE4
PingPtr              0x02228B58
SafeSpace            0x01fcd000
ImgCkSum             0xB2F0279A
CodeCkSum            0x0CED6CDE
SystemCkSum          0x49864C64
TimeTablePtr         0x0279B51C
LogTablePtr          0x0276F0C0
LogOptsPtr           0x0276F4D4
CritTablePtr         0x0276F4D0
MixedConfig          0x00995720
SerialStrPtr         0x02798C00
NewPassiveHookFunc   0x003765F4
NewPassiveHookLoc    0x0099E140
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x03752734
flashSemUseOffset    0x00000018
Printf               0x0039FF78
Socket               0x006650F0
Bind                 0x00665EC8
Connect              0x0066777C
Send                 0x00667FBC
Recv                 0x006685D4
Close                0x00668AE4
Malloc               0x00386DDC
Free                 0x003A03CC
Resched              0x00372000
:EOS:

