0x25140c79            
0xffffffff            
0x0   0x0036F0CC      
0x1   0x003822E8      
0x3   0x00653C5C      
0x6   0x0037DFC8      
0x7   0x00375DE0      
0x8   0x00384E88      
0x9   0x0039D8EC      
0xa   0x0039D498      
0xf   0x00DE1CA4      
0x15  0x003A9660      
0x17  0x00375ECC      
0x19  0x003B1228      
0x20  0x0035D210      
0x21  0x00370928      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02315888      
0x29  0x00C26400      
0x2f  0x02757228      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003C61D0      
0x3c  0x003C6574      
0x3d  0x003C5A60      
0x3e  0x003C687C      
:EOS:
ArpTableAddrPtr     0x0276797C      
ConfigAddr          0x0276C714      
PingPtr             0x02228AD0      
SafeSpace           0x01FC9000      
ImgCkSum            0x53597c79      
CodeCkSum           0xbfe09403      
TimeTablePtr        0x0279af34
LogOptsPtr          0x0276eef4
CritTablePtr        0x0276eef0
LogTablePtr         0x0276eae0
Printf              0x0039D498      
Socket              0x0065F4C0      
Bind                0x00660298      
Connect             0x00661B4C      
Send                0x0066238C      
Recv                0x00662980      
Close               0x00662E90      
Malloc              0x00384E88      
Free                0x0039D8EC      
Resched             0x00370000      
:EOS:
