0x2514018f            
0xffffffff            
0x0   0x0036F334      
0x1   0x003822E8      
0x3   0x00654804      
0x6   0x0037DFC8      
0x7   0x00375DE0      
0x8   0x00384EE8      
0x9   0x0039DA04      
0xa   0x0039D5B0      
0xf   0x00DE4A3C      
0x15  0x003A9778      
0x17  0x00375ECC      
0x19  0x003B1340      
0x20  0x0035D3F4      
0x21  0x00370928      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x023158D4      
0x29  0x00C2873C      
0x2f  0x02757408      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003C62E8      
0x3c  0x003C668C      
0x3d  0x003C5B78      
0x3e  0x003C6994      
:EOS:
ArpTableAddrPtr     0x02767B5C      
ConfigAddr          0x0276C8F4      
PingPtr             0x02228AD0      
SafeSpace           0x01FC9000      
ImgCkSum            0xbbf6a18f      
CodeCkSum           0xbe1fae6a      
TimeTablePtr        0x0279b118
LogOptsPtr          0x0276f0d4
CritTablePtr        0x0276f0d0
LogTablePtr         0x0276ecc0
Printf              0x0039D5B0      
Socket              0x00660068      
Bind                0x00660E40      
Connect             0x006626F4      
Send                0x00662F34      
Recv                0x00663528      
Close               0x00663A38      
Malloc              0x00384EE8      
Free                0x0039DA04      
Resched             0x00370000      
:EOS:
