0x25140655
0xffffffff
0x0     0x0036F4B0
0x1     0x003822F0
0x3     0x00654A9C
0x6     0x0037DFD0
0x7     0x00375DE8
0x8     0x00384EF0
0x9     0x0039DA1C
0xa     0x0039D5C8
0xf     0x00DE6B04
0x15    0x003A9794
0x17    0x00375ED4
0x19    0x003B135C
0x20    0x0035D4D0
0x21    0x00370928
0x22    0x02100850
0x23    0x00061c00
0x24    0x0008362C
0x25    0x48061c03
0x26    0x0210082C
0x28    0x02315DE4
0x29    0x00C2A340
0x2f    0x02757568
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02038034
0x3b    0x003C6304
0x3c    0x003C66A8
0x3d    0x003C5B94
0x3e    0x003C69B0
0x3f    0x00C2D428
:EOS:
ArpTableAddrPtr      0x02767CBC
ConfigAddr           0x0276CA54
PingPtr              0x02228AD0
SafeSpace            0x01fca000
ImgCkSum             0xD1E5D655
CodeCkSum            0xD4C979F4
SystemCkSum          0x10673BBD
TimeTablePtr         0x0279B488
LogTablePtr          0x0276F030
LogOptsPtr           0x0276F444
CritTablePtr         0x0276F440
MixedConfig          0x0098EB48
SerialStrPtr         0x02798B70
NewPassiveHookFunc   0x003745E8
NewPassiveHookLoc    0x009973E8
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x03752634
flashSemUseOffset    0x00000018
Printf               0x0039D5C8
Socket               0x00660364
Bind                 0x0066113C
Connect              0x006629F0
Send                 0x00663230
Recv                 0x00663848
Close                0x00663D58
Malloc               0x00384EF0
Free                 0x0039DA1C
Resched              0x00370000
:EOS:

