0x26140ca9            
0xffffffff            
0x0   0x003733D0      
0x1   0x00385FFC      
0x3   0x0069BED0      
0x6   0x00381EB8      
0x7   0x00379F88      
0x8   0x00388BB4      
0x9   0x003A200C      
0xa   0x003A1BD4      
0xf   0x00E840A4      
0x15  0x003ADF4C      
0x17  0x0037A074      
0x19  0x003B5BE4      
0x20  0x00360364      
0x21  0x00374930      
0x22  0x02800840      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02800864      
0x28  0x02A3D080      
0x29  0x00CA5AF0      
0x2f  0x02E8A75C      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003D0E70      
0x3c  0x003D1214      
0x3d  0x003D0700      
0x3e  0x003D151C      
:EOS:
ArpTableAddrPtr     0x02E9AE9C      
ConfigAddr          0x02EA0018      
PingPtr             0x029255F8      
SafeSpace           0x026AA000      
ImgCkSum            0x7f270ca9      
CodeCkSum           0x6fe9bff9      
TimeTablePtr        0x02eced88
LogOptsPtr          0x02ea27fc
CritTablePtr        0x02ea27f8
LogTablePtr         0x02ea23e8
Printf              0x003A1BD4      
Socket              0x006A7B7C      
Bind                0x006A8954      
Connect             0x006AA208      
Send                0x006AAA48      
Recv                0x006AB03C      
Close               0x006AB54C      
Malloc              0x00388BB4      
Free                0x003A200C      
Resched             0x00374000      
:EOS:
