0x2614031E
0xffffffff
0x0     0x003757B0
0x1     0x003879E8
0x3     0x006AFE58
0x6     0x003838A8
0x7     0x0037BF54
0x8     0x0038A648
0x9     0x003A41BC
0xa     0x003A3D84
0xf     0x00EACE94
0x15    0x003AFF94
0x17    0x0037C040
0x19    0x003BB3F4
0x20    0x00362528
0x21    0x00376944
0x22    0x02800874
0x23    0x00061c00
0x24    0x00083624
0x25    0x48061c03
0x26    0x02800850
0x28    0x02A43CA4
0x29    0x00CCA018
0x2f    0x02E8B184
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02738034
0x3b    0x003D6124
0x3c    0x003D64C8
0x3d    0x003D59B4
0x3e    0x003D67D0
0x3f    0x00CCD1B0
:EOS:
ArpTableAddrPtr      0x02E9B8E0
ConfigAddr           0x02EA0FBC
PingPtr              0x02925AE8
SafeSpace            0x026c5000
ImgCkSum             0x44B8C31E
CodeCkSum            0xD0F4C61C
SystemCkSum          0xCA7944E6
TimeTablePtr         0x02ED0C60
LogTablePtr          0x02EA359C
LogOptsPtr           0x02EA39B0
CritTablePtr         0x02EA39AC
MixedConfig          0x00A004C0
SerialStrPtr         0x02ECE310
NewPassiveHookFunc   0x0037A754
NewPassiveHookLoc    0x00A0AF3C
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x03EB49B4
flashSemUseOffset    0x00000018
Printf               0x003A3D84
Socket               0x006BBC88
Bind                 0x006BCA60
Connect              0x006BE314
Send                 0x006BEB54
Recv                 0x006BF16C
Close                0x006BF67C
Malloc               0x0038A648
Free                 0x003A41BC
Resched              0x00376000
:EOS:

