0x26140137
0xffffffff
0x0     0x003768D0
0x1     0x00388AD4
0x3     0x006B73C0
0x6     0x003848B4
0x7     0x0037CF60
0x8     0x0038B868
0x9     0x003A56E4
0xa     0x003A52AC
0xf     0x00EBC4C8
0x15    0x003B14BC
0x17    0x0037D04C
0x19    0x003BD38C
0x20    0x0036342C
0x21    0x00377944
0x22    0x02800874
0x23    0x00061c00
0x24    0x00083624
0x25    0x48061c03
0x26    0x02800850
0x28    0x02A4718C
0x29    0x00CD97F0
0x2f    0x02E8B464
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02738034
0x3b    0x003D80BC
0x3c    0x003D8460
0x3d    0x003D794C
0x3e    0x003D8768
0x3f    0x00CDC988
:EOS:
ArpTableAddrPtr      0x02E9BBC8
ConfigAddr           0x02EA12A4
PingPtr              0x02925B40
SafeSpace            0x026ce000
ImgCkSum             0xA8EC7137
CodeCkSum            0x51DDD23B
SystemCkSum          0xD61842C7
TimeTablePtr         0x02ED0F50
LogTablePtr          0x02EA3884
LogOptsPtr           0x02EA3C98
CritTablePtr         0x02EA3C94
MixedConfig          0x00A0B83C
SerialStrPtr         0x02ECE600
NewPassiveHookFunc   0x0037B760
NewPassiveHookLoc    0x00A1643C
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x03EB4CF4
flashSemUseOffset    0x00000018
Printf               0x003A52AC
Socket               0x006C31D4
Bind                 0x006C3FAC
Connect              0x006C5860
Send                 0x006C60A0
Recv                 0x006C66B8
Close                0x006C6BC8
Malloc               0x0038B868
Free                 0x003A56E4
Resched              0x00377000
:EOS:

