0x261408d9            
0xffffffff            
0x0   0x00372784      
0x1   0x00384DB0      
0x3   0x0069AA98      
0x6   0x00380D24      
0x7   0x00378DF4      
0x8   0x00387968      
0x9   0x003A0BD4      
0xa   0x003A079C      
0xf   0x00E6645C      
0x15  0x003ACB14      
0x17  0x00378EE0      
0x19  0x003B47AC      
0x20  0x00360364      
0x21  0x00373930      
0x22  0x02200840      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02200864      
0x28  0x0243CEC0      
0x29  0x00C9B964      
0x2f  0x0288977C      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02138034      
0x3b  0x003CFA38      
0x3c  0x003CFDDC      
0x3d  0x003CF2C8      
0x3e  0x003D00E4      
:EOS:
ArpTableAddrPtr     0x02899EBC      
ConfigAddr          0x0289F038      
PingPtr             0x023255F8      
SafeSpace           0x0200F000      
ImgCkSum            0xf54438d9      
CodeCkSum           0x746ac247      
TimeTablePtr        0x028cdd68
LogOptsPtr          0x028a181c
CritTablePtr        0x028a1818
LogTablePtr         0x028a1408
Printf              0x003A079C      
Socket              0x006A6744      
Bind                0x006A751C      
Connect             0x006A8DD0      
Send                0x006A9610      
Recv                0x006A9C04      
Close               0x006AA114      
Malloc              0x00387968      
Free                0x003A0BD4      
Resched             0x00373000      
:EOS:
