0x261409cb            
0xffffffff            
0x0   0x0037370C      
0x1   0x003859F0      
0x3   0x006A82F8      
0x6   0x0038197C      
0x7   0x00379DB0      
0x8   0x003885E4      
0x9   0x003A179C      
0xa   0x003A1364      
0xf   0x00E7BA54      
0x15  0x003AD58C      
0x17  0x00379E9C      
0x19  0x003B89EC      
0x20  0x00361164      
0x21  0x00374930      
0x22  0x02200850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02200874      
0x28  0x02443508      
0x29  0x00CAE294      
0x2f  0x02889FE4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02138034      
0x3b  0x003D371C      
0x3c  0x003D3AC0      
0x3d  0x003D2FAC      
0x3e  0x003D3DC8      
:EOS:
ArpTableAddrPtr     0x0289A748      
ConfigAddr          0x0289F964      
PingPtr             0x02325AD8      
SafeSpace           0x0201C000      
ImgCkSum            0x94cec9cb      
CodeCkSum           0x1d357a56      
TimeTablePtr        0x028ce7b4
LogOptsPtr          0x028a214c
CritTablePtr        0x028a2148
LogTablePtr         0x028a1d38
Printf              0x003A1364      
Socket              0x006B4038      
Bind                0x006B4E10      
Connect             0x006B66C4      
Send                0x006B6F04      
Recv                0x006B74F8      
Close               0x006B7A08      
Malloc              0x003885E4      
Free                0x003A179C      
Resched             0x00374000      
:EOS:
