0x26140f4a            
0xffffffff            
0x0   0x00373890      
0x1   0x003859E4      
0x3   0x006A82B4      
0x6   0x00381970      
0x7   0x00379DA4      
0x8   0x003885D8      
0x9   0x003A1794      
0xa   0x003A135C      
0xf   0x00E82EE4      
0x15  0x003AD584      
0x17  0x00379E90      
0x19  0x003B89E4      
0x20  0x003612E8      
0x21  0x00374930      
0x22  0x02200850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02200874      
0x28  0x02443508      
0x29  0x00CB5724      
0x2f  0x02889FE4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02138034      
0x3b  0x003D3714      
0x3c  0x003D3AB8      
0x3d  0x003D2FA4      
0x3e  0x003D3DC0      
:EOS:
ArpTableAddrPtr     0x0289A748      
ConfigAddr          0x0289F964      
PingPtr             0x02325AD8      
SafeSpace           0x0201C000      
ImgCkSum            0xb020ff4a      
CodeCkSum           0x59ba9195      
TimeTablePtr        0x028ce7b4
LogOptsPtr          0x028a214c
CritTablePtr        0x028a2148
LogTablePtr         0x028a1d38
Printf              0x003A135C      
Socket              0x006B3FF4      
Bind                0x006B4DCC      
Connect             0x006B6680      
Send                0x006B6EC0      
Recv                0x006B74B4      
Close               0x006B79C4      
Malloc              0x003885D8      
Free                0x003A1794      
Resched             0x00374000      
:EOS:
