0x261403AD
0xffffffff
0x0     0x00375C78
0x1     0x00388888
0x3     0x006B6F88
0x6     0x00384720
0x7     0x0037CDCC
0x8     0x0038B61C
0x9     0x003A52AC
0xa     0x003A4E74
0xf     0x00E9F2F0
0x15    0x003B1084
0x17    0x0037CEB8
0x19    0x003BCF54
0x20    0x0036342C
0x21    0x00377944
0x22    0x02200874
0x23    0x00061c00
0x24    0x00083624
0x25    0x48061c03
0x26    0x02200850
0x28    0x02446FC0
0x29    0x00CD05DC
0x2f    0x0288A464
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02138034
0x3b    0x003D7C84
0x3c    0x003D8028
0x3d    0x003D7514
0x3e    0x003D8330
0x3f    0x00CD3774
:EOS:
ArpTableAddrPtr      0x0289ABC8
ConfigAddr           0x028A02A4
PingPtr              0x02325B40
SafeSpace            0x02023000
ImgCkSum             0x562FA3AD
CodeCkSum            0x0047E848
SystemCkSum          0x81236634
TimeTablePtr         0x028CFF10
LogTablePtr          0x028A2884
LogOptsPtr           0x028A2C98
CritTablePtr         0x028A2C94
MixedConfig          0x00A042D4
SerialStrPtr         0x028CD5C0
NewPassiveHookFunc   0x0037B5CC
NewPassiveHookLoc    0x00A0EED4
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x038A26D4
flashSemUseOffset    0x00000018
Printf               0x003A4E74
Socket               0x006C2D9C
Bind                 0x006C3B74
Connect              0x006C5428
Send                 0x006C5C68
Recv                 0x006C6280
Close                0x006C6790
Malloc               0x0038B61C
Free                 0x003A52AC
Resched              0x00377000
:EOS:

