0x26140f44            
0xffffffff            
0x0   0x00375024      
0x1   0x00387DD4      
0x3   0x006E3D60      
0x6   0x00383A78      
0x7   0x0037BF98      
0x8   0x0038ACA8      
0x9   0x003A3E00      
0xa   0x003A39C8      
0xf   0x00EF84A4      
0x15  0x003AFDBC      
0x17  0x0037C084      
0x19  0x003BB29C      
0x20  0x003619A4      
0x21  0x00376944      
0x22  0x03300850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x03300874      
0x28  0x03548300      
0x29  0x00D0A62C      
0x2f  0x039C4EB4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x03248034      
0x3b  0x003D5D34      
0x3c  0x003D60D8      
0x3d  0x003D55C4      
0x3e  0x003D63E0      
:EOS:
ArpTableAddrPtr     0x039D94CC      
ConfigAddr          0x039DECAC      
PingPtr             0x03426B88      
SafeSpace           0x0312E000      
ImgCkSum            0x23488f44      
CodeCkSum           0xb3c4507c      
TimeTablePtr        0x03a1a800
LogOptsPtr          0x039e170c
CritTablePtr        0x039e1708
LogTablePtr         0x039e12f8
Printf              0x003A39C8      
Socket              0x006EFC78      
Bind                0x006F0A50      
Connect             0x006F2304      
Send                0x006F2B44      
Recv                0x006F3178      
Close               0x006F3690      
Malloc              0x0038ACA8      
Free                0x003A3E00      
Resched             0x00376000      
:EOS:
