0x261407CE
0xffffffff
0x0     0x00376550
0x1     0x00388EC8
0x3     0x006E8C28
0x6     0x00384A78
0x7     0x0037CF98
0x8     0x0038BD9C
0x9     0x003A5054
0xa     0x003A4C1C
0xf     0x00F026B8
0x15    0x003B1010
0x17    0x0037D084
0x19    0x003BC4F0
0x20    0x00362EA0
0x21    0x00377944
0x22    0x03300874
0x23    0x00061c00
0x24    0x00083620
0x25    0x48061c03
0x26    0x03300850
0x28    0x03547FB0
0x29    0x00D13BA4
0x2f    0x039C5194
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003D6F88
0x3c    0x003D732C
0x3d    0x003D6818
0x3e    0x003D7634
0x3f    0x00D16D3C
:EOS:
ArpTableAddrPtr      0x039D97B0
ConfigAddr           0x039DEF90
PingPtr              0x03426BE8
SafeSpace            0x03139000
ImgCkSum             0x1E6C67CE
CodeCkSum            0x818EB5C2
SystemCkSum          0x42D8B070
TimeTablePtr         0x03A1ACE4
LogTablePtr          0x039E15DC
LogOptsPtr           0x039E19F0
CritTablePtr         0x039E19EC
MixedConfig          0x00A46784
SerialStrPtr         0x03A17D90
NewPassiveHookFunc   0x0037B798
NewPassiveHookLoc    0x00A51270
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x04A0F244
flashSemUseOffset    0x00000018
Printf               0x003A4C1C
Socket               0x006F4B84
Bind                 0x006F595C
Connect              0x006F7210
Send                 0x006F7A50
Recv                 0x006F8084
Close                0x006F859C
Malloc               0x0038BD9C
Free                 0x003A5054
Resched              0x00377000
:EOS:

