0x261409BD
0xffffffff
0x0     0x00377284
0x1     0x00389EC8
0x3     0x006ECE28
0x6     0x00385A78
0x7     0x0037DF98
0x8     0x0038CDB8
0x9     0x003A6204
0xa     0x003A5DCC
0xf     0x00F0CB54
0x15    0x003B21C0
0x17    0x0037E084
0x19    0x003BE108
0x20    0x00363B58
0x21    0x00378944
0x22    0x03300874
0x23    0x00061c00
0x24    0x00083620
0x25    0x48061c03
0x26    0x03300850
0x28    0x0354B2B8
0x29    0x00D1DB0C
0x2f    0x039E53B4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003D8BA0
0x3c    0x003D8F44
0x3d    0x003D8430
0x3e    0x003D924C
0x3f    0x00D20CA4
:EOS:
ArpTableAddrPtr      0x039F99CC
ConfigAddr           0x039FF1AC
PingPtr              0x03426BE8
SafeSpace            0x0313d000
ImgCkSum             0xD49229BD
CodeCkSum            0x80683013
SystemCkSum          0x5D628A8C
TimeTablePtr         0x03A3AF04
LogTablePtr          0x03A017F4
LogOptsPtr           0x03A01C08
CritTablePtr         0x03A01C04
MixedConfig          0x00A4DCCC
SerialStrPtr         0x03A37FB0
NewPassiveHookFunc   0x0037C798
NewPassiveHookLoc    0x00A5892C
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x04A2F4A4
flashSemUseOffset    0x00000018
Printf               0x003A5DCC
Socket               0x006F8D94
Bind                 0x006F9B6C
Connect              0x006FB420
Send                 0x006FBC60
Recv                 0x006FC294
Close                0x006FC7AC
Malloc               0x0038CDB8
Free                 0x003A6204
Resched              0x00378000
:EOS:

