0x26140389
0xffffffff
0x0     0x003787A8
0x1     0x0038B12C
0x3     0x006F5638
0x6     0x00386CBC
0x7     0x0037EFF0
0x8     0x0038E05C
0x9     0x003A7924
0xa     0x003A74EC
0xf     0x00F1ECCC
0x15    0x003B38E0
0x17    0x0037F0DC
0x19    0x003BF990
0x20    0x00364828
0x21    0x0037992C
0x22    0x0330087C
0x23    0x00061c00
0x24    0x00083620
0x25    0x48061c03
0x26    0x03300858
0x28    0x0354B854
0x29    0x00D2EACC
0x2f    0x039E5554
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003DA4F4
0x3c    0x003DA898
0x3d    0x003D9D84
0x3e    0x003DABA0
0x3f    0x00D31C64
:EOS:
ArpTableAddrPtr      0x039FAB7C
ConfigAddr           0x03A0035C
PingPtr              0x03426C2C
SafeSpace            0x03145000
ImgCkSum             0x50E41389
CodeCkSum            0xA1259804
SystemCkSum          0x16834588
TimeTablePtr         0x03A3C118
LogTablePtr          0x03A029A4
LogOptsPtr           0x03A02DB8
CritTablePtr         0x03A02DB4
MixedConfig          0x00A59F14
SerialStrPtr         0x03A391C4
NewPassiveHookFunc   0x0037D7F0
NewPassiveHookLoc    0x00A64CA4
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x04B55764
flashSemUseOffset    0x00000018
Printf               0x003A74EC
Socket               0x007016E0
Bind                 0x007024B8
Connect              0x00703D6C
Send                 0x007045AC
Recv                 0x00704BE8
Close                0x00705108
Malloc               0x0038E05C
Free                 0x003A7924
Resched              0x00379000
:EOS:
