0x26140cdd            
0xffffffff            
0x0   0x003743F4      
0x1   0x00386C40      
0x3   0x006E5A0C      
0x6   0x003828E4      
0x7   0x0037AE04      
0x8   0x00389B14      
0x9   0x003A2B9C      
0xa   0x003A2764      
0xf   0x00EDF2B4      
0x15  0x003AEB58      
0x17  0x0037AEF0      
0x19  0x003BA038      
0x20  0x00361A00      
0x21  0x00375944      
0x22  0x02C00850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x02c00874      
0x28  0x02E47C50      
0x29  0x00D0461C      
0x2f  0x032C4174      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02B48034      
0x3b  0x003D4AD0      
0x3c  0x003D4E74      
0x3d  0x003D4360      
0x3e  0x003D517C      
:EOS:
ArpTableAddrPtr     0x032D8790      
ConfigAddr          0x032DDF70      
PingPtr             0x02D26BE8      
SafeSpace           0x02A8C000      
ImgCkSum            0x8938acdd      
CodeCkSum           0xf0a6e65c      
TimeTablePtr        0x03319a7c
LogOptsPtr          0x032e09d0
CritTablePtr        0x032e09cc
LogTablePtr         0x032e05bc
Printf              0x003A2764      
Socket              0x006F1968      
Bind                0x006F2740      
Connect             0x006F3FF4      
Send                0x006F4834      
Recv                0x006F4E68      
Close               0x006F5380      
Malloc              0x00389B14      
Free                0x003A2B9C      
Resched             0x00375000      
:EOS:
