0x26140CC8
0xffffffff
0x0     0x003758A0
0x1     0x00387C54
0x3     0x006E77C8
0x6     0x003838E4
0x7     0x0037BE04
0x8     0x0038AB28
0x9     0x003A3BF4
0xa     0x003A37BC
0xf     0x00EE28D4
0x15    0x003AFBB0
0x17    0x0037BEF0
0x19    0x003BB090
0x20    0x00362EA0
0x21    0x00376944
0x22    0x02C00874
0x23    0x00061c00
0x24    0x00083620
0x25    0x48061c03
0x26    0x02C00850
0x28    0x02E47DE4
0x29    0x00D07CBC
0x2f    0x032C4174
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003D5B28
0x3c    0x003D5ECC
0x3d    0x003D53B8
0x3e    0x003D61D4
0x3f    0x00D0AE54
:EOS:
ArpTableAddrPtr      0x032D8790
ConfigAddr           0x032DDF70
PingPtr              0x02D26BE8
SafeSpace            0x02a91000
ImgCkSum             0xD7426CC8
CodeCkSum            0x41D1FDE7
SystemCkSum          0xBA8A812B
TimeTablePtr         0x03319C7C
LogTablePtr          0x032E05BC
LogOptsPtr           0x032E09D0
CritTablePtr         0x032E09CC
MixedConfig          0x00A3C6C0
SerialStrPtr         0x03316D28
NewPassiveHookFunc   0x0037A604
NewPassiveHookLoc    0x00A471AC
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x042FCC04
flashSemUseOffset    0x00000018
Printf               0x003A37BC
Socket               0x006F3724
Bind                 0x006F44FC
Connect              0x006F5DB0
Send                 0x006F65F0
Recv                 0x006F6C24
Close                0x006F713C
Malloc               0x0038AB28
Free                 0x003A3BF4
Resched              0x00376000
:EOS:

