0x26140B53
0xffffffff
0x0     0x003765D4
0x1     0x00388C54
0x3     0x006EB9C8
0x6     0x003848E4
0x7     0x0037CE04
0x8     0x0038BB44
0x9     0x003A4DA4
0xa     0x003A496C
0xf     0x00EECA5C
0x15    0x003B0D60
0x17    0x0037CEF0
0x19    0x003BCCA8
0x20    0x00363B58
0x21    0x00377944
0x22    0x02C00874
0x23    0x00061c00
0x24    0x00083620
0x25    0x48061c03
0x26    0x02C00850
0x28    0x02E4B0EC
0x29    0x00D11C24
0x2f    0x032C4394
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003D7740
0x3c    0x003D7AE4
0x3d    0x003D6FD0
0x3e    0x003D7DEC
0x3f    0x00D14DBC
:EOS:
ArpTableAddrPtr      0x032D89AC
ConfigAddr           0x032DE18C
PingPtr              0x02D26BE8
SafeSpace            0x02a92000
ImgCkSum             0xFF947B53
CodeCkSum            0xDD2166C4
SystemCkSum          0x8EC4F1C2
TimeTablePtr         0x03319E9C
LogTablePtr          0x032E07D4
LogOptsPtr           0x032E0BE8
CritTablePtr         0x032E0BE4
MixedConfig          0x00A43C08
SerialStrPtr         0x03316F48
NewPassiveHookFunc   0x0037B604
NewPassiveHookLoc    0x00A4E868
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x042FCE64
flashSemUseOffset    0x00000018
Printf               0x003A496C
Socket               0x006F7934
Bind                 0x006F870C
Connect              0x006F9FC0
Send                 0x006FA800
Recv                 0x006FAE34
Close                0x006FB34C
Malloc               0x0038BB44
Free                 0x003A4DA4
Resched              0x00377000
:EOS:

