0x26140939
0xffffffff
0x0     0x003779EC
0x1     0x00389EB8
0x3     0x006F41D8
0x6     0x00385B28
0x7     0x0037DE5C
0x8     0x0038CDE8
0x9     0x003A64C4
0xa     0x003A608C
0xf     0x00EFEBBC
0x15    0x003B2480
0x17    0x0037DF48
0x19    0x003BE530
0x20    0x00364828
0x21    0x0037892C
0x22    0x02C0087C
0x23    0x00061c00
0x24    0x00083620
0x25    0x48061c03
0x26    0x02C00858
0x28    0x02E4B688
0x29    0x00D22BFC
0x2f    0x032E4534
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003D9094
0x3c    0x003D9438
0x3d    0x003D8924
0x3e    0x003D9740
0x3f    0x00D25D94
:EOS:
ArpTableAddrPtr      0x032F9B5C
ConfigAddr           0x032FF33C
PingPtr              0x02D26C2C
SafeSpace            0x02a96000
ImgCkSum             0x71BBF939
CodeCkSum            0xAB2A7636
SystemCkSum          0x9EC74E04
TimeTablePtr         0x0333B0B0
LogTablePtr          0x03301984
LogOptsPtr           0x03301D98
CritTablePtr         0x03301D94
MixedConfig          0x00A4FEA8
SerialStrPtr         0x0333815C
NewPassiveHookFunc   0x0037C65C
NewPassiveHookLoc    0x00A5AC38
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x04443124
flashSemUseOffset    0x00000018
Printf               0x003A608C
Socket               0x00700280
Bind                 0x00701058
Connect              0x0070290C
Send                 0x0070314C
Recv                 0x00703788
Close                0x00703CA8
Malloc               0x0038CDE8
Free                 0x003A64C4
Resched              0x00378000
:EOS:
