0x261400BE                  
0xffffffff                  
0x0     0x00378F74          
0x1     0x0038C660          
0x3     0x0072E8E0          
0x6     0x0038800C          
0x7     0x0037FEE0          
0x8     0x0038F57C          
0x9     0x003A9A58          
0xa     0x003A95F4          
0xf     0x00FD95F0          
0x15    0x003B63BC          
0x17    0x0037FFCC          
0x19    0x003C2790          
0x20    0x00366DDC          
0x21    0x0037A880          
0x22    0x03300914          
0x23    0x00061c00          
0x24    0x00083614          
0x25    0x48061c03          
0x26    0x033008F0          
0x28    0x03561C54          
0x29    0x00DD1C08          
0x2f    0x03A0577C          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x03248034          
0x3b    0x003DE4B4          
0x3c    0x003DE858          
0x3d    0x003DDD44          
0x3e    0x003DEB60          
0x3f    0x00DD4DBC          
:EOS:
ArpTableAddrPtr      0x03A1C018             
ConfigAddr           0x03A21964             
PingPtr              0x034280A4             
SafeSpace            0x031b6000             
ImgCkSum             0x64DF20BE             
CodeCkSum            0x9CE4B16C             
TimeTablePtr         0x03A60104             
LogTablePtr          0x03A23FEC             
LogOptsPtr           0x03A24404             
CritTablePtr         0x03A24400             
flashSemAddr         0x04B7A084
flashSemUseOffset    0x00000018
Printf               0x003A95F4             
Socket               0x0073BA94             
Bind                 0x0073C86C             
Connect              0x0073E1E0             
Send                 0x0073EA20             
Recv                 0x0073F05C             
Close                0x0073F57C             
Malloc               0x0038F57C             
Free                 0x003A9A58             
Resched              0x0037A000             

:EOS


