0x261403A3
0xffffffff
0x0     0x00378F74
0x1     0x0038C930
0x3     0x007302CC
0x6     0x00388040
0x7     0x0037FEE0
0x8     0x0038F86C
0x9     0x003A9C78
0xa     0x003A9814
0xf     0x00FE3110
0x15    0x003B65DC
0x17    0x0037FFCC
0x19    0x003C29B0
0x20    0x00366D8C
0x21    0x0037A880
0x22    0x03300918
0x23    0x00061c00
0x24    0x00083614
0x25    0x48061c03
0x26    0x033008F4
0x27    0x03A28B7C
0x28    0x03561E7C
0x29    0x00DDA8E8
0x2f    0x03A0599C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003DE6D4
0x3c    0x003DEA78
0x3d    0x003DDF64
0x3e    0x003DED80
0x3f    0x00DDDA9C
:EOS:
ArpTableAddrPtr      0x03A1C238
ConfigAddr           0x03A21B84
PingPtr              0x034280A8
SafeSpace            0x031c0000
ImgCkSum             0xEE7603A3
CodeCkSum            0xA40468AE
SystemCkSum          0xA9883759
TimeTablePtr         0x03A60328
LogTablePtr          0x03A2420C
LogOptsPtr           0x03A24624
CritTablePtr         0x03A24620
MixedConfig          0x00ADA354
Printf               0x003A9814
Socket               0x0073D4B4
Bind                 0x0073E28C
Connect              0x0073FC04
Send                 0x0074044C
Recv                 0x00740A88
Close                0x00740FA8
Malloc               0x0038F86C
Free                 0x003A9C78
Resched              0x0037A000
:EOS:
