0x26140531
0xffffffff
0x0     0x00379664
0x1     0x0038C930
0x3     0x00731CC0
0x6     0x00388040
0x7     0x0037FEE0
0x8     0x0038F964
0x9     0x003AA0DC
0xa     0x003A9C78
0xf     0x00FEB250
0x15    0x003B6A40
0x17    0x0037FFCC
0x19    0x003C2E14
0x20    0x003671D4
0x21    0x0037A880
0x22    0x03300918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F4
0x28    0x03561F24
0x29    0x00DE26C4
0x2f    0x03A059DC
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003DEB38
0x3c    0x003DEEDC
0x3d    0x003DE3C8
0x3e    0x003DF1E4
0x3f    0x00DE5878
0x40    0x03A28BBC
0x41    0xFFFFFEC0
0x42    0x0034F250
:EOS:
ArpTableAddrPtr      0x03A1C278
ConfigAddr           0x03A21BC4
PingPtr              0x034280A8
SafeSpace            0x031C9000
ImgCkSum             0xF5E0F531
CodeCkSum            0xEBAAD667
SystemCkSum          0x447F3E30
TimeTablePtr         0x03A62378
LogTablePtr          0x03A2424C
LogOptsPtr           0x03A24664
CritTablePtr         0x03A24660
MixedConfig          0x00ADEEC0
SerialStrPtr         0x03A5E71C
NewPassiveHookFunc   0x0037E688
NewPassiveHookLoc    0x00AE9FEC
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04B7C744
flashSemUseOffset    0x00000018
Printf               0x003A9C78
Socket               0x0073EF10
Bind                 0x0073FCE8
Connect              0x00741660
Send                 0x00741EA8
Recv                 0x007424E4
Close                0x00742A04
Malloc               0x0038F964
Free                 0x003AA0DC
Resched              0x0037A000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

