0x26140620
0xffffffff
0x0     0x00378714
0x1     0x0038B6F4
0x3     0x00731658
0x6     0x00386EB0
0x7     0x0037ED50
0x8     0x0038E72C
0x9     0x003A8D38
0xa     0x003A88D4
0xf     0x00FBF30C
0x15    0x003B56A0
0x17    0x0037EE3C
0x19    0x003C1BAC
0x20    0x003676D4
0x21    0x00379880
0x22    0x02C00918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02C008F4
0x28    0x02E61D08
0x29    0x00DD165C
0x2f    0x0330481C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003DD8D0
0x3c    0x003DDC74
0x3d    0x003DD160
0x3e    0x003DDF7C
0x3f    0x00DD4810
0x40    0x033279FC
0x41    0xFFFFFEC8
0x42    0x0034F29C
:EOS:
ArpTableAddrPtr      0x0331B0B8
ConfigAddr           0x03320A04
PingPtr              0x02D280A8
SafeSpace            0x02AF5000
ImgCkSum             0x4A3ED620
CodeCkSum            0xF1770C98
SystemCkSum          0xAEA63713
TimeTablePtr         0x03361150
LogTablePtr          0x0332308C
LogOptsPtr           0x033234A4
CritTablePtr         0x033234A0
MixedConfig          0x00AD3ED8
SerialStrPtr         0x0335D4F4
NewPassiveHookFunc   0x0037D4F8
NewPassiveHookLoc    0x00ADF008
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04469C24
flashSemUseOffset    0x00000018
Printf               0x003A88D4
Socket               0x0073E888
Bind                 0x0073F660
Connect              0x00740FD8
Send                 0x00741820
Recv                 0x00741E5C
Close                0x0074237C
Malloc               0x0038E72C
Free                 0x003A8D38
Resched              0x00379000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

