0x261405A2
0xffffffff
0x0     0x00377DC4
0x1     0x0038B6AC
0x3     0x0072EEA4
0x6     0x00386EAC
0x7     0x0037ED4C
0x8     0x0038E5E8
0x9     0x003A87CC
0xa     0x003A8368
0xf     0x00FB5DEC
0x15    0x003B5130
0x17    0x0037EE38
0x19    0x003C1504
0x20    0x00366E18
0x21    0x00379880
0x22    0x02C00918
0x23    0x00061c00
0x24    0x00083614
0x25    0x48061c03
0x26    0x02C008F4
0x27    0x0332797C
0x28    0x02E61C5C
0x29    0x00DC86CC
0x2f    0x0330479C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003DD228
0x3c    0x003DD5CC
0x3d    0x003DCAB8
0x3e    0x003DD8D4
0x3f    0x00DCB880
:EOS:
ArpTableAddrPtr      0x0331B038
ConfigAddr           0x03320984
PingPtr              0x02D280A4
SafeSpace            0x02af4000
ImgCkSum             0x7345F5A2
CodeCkSum            0xA1D340D9
SystemCkSum          0xBF4B081A
TimeTablePtr         0x0335F0C0
LogTablePtr          0x0332300C
LogOptsPtr           0x03323424
CritTablePtr         0x03323420
MixedConfig          0x00ACD8F4
Printf               0x003A8368
Socket               0x0073C08C
Bind                 0x0073CE64
Connect              0x0073E7DC
Send                 0x0073F024
Recv                 0x0073F660
Close                0x0073FB80
Malloc               0x0038E5E8
Free                 0x003A87CC
Resched              0x00379000
:EOS:
