0x261404B8
0xffffffff
0x0     0x003783F0
0x1     0x0038B6AC
0x3     0x00730850
0x6     0x00386EAC
0x7     0x0037ED4C
0x8     0x0038E6E0
0x9     0x003A8C6C
0xa     0x003A8808
0xf     0x00FC0024
0x15    0x003B55D0
0x17    0x0037EE38
0x19    0x003C19A4
0x20    0x003671D4
0x21    0x00379880
0x22    0x02C00918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02C008F4
0x28    0x02E61D28
0x29    0x00DD2554
0x2f    0x0330483C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003DD6C8
0x3c    0x003DDA6C
0x3d    0x003DCF58
0x3e    0x003DDD74
0x3f    0x00DD5708
0x40    0x03327A1C
0x41    0xFFFFFEC0
0x42    0x0034F250
:EOS:
ArpTableAddrPtr      0x0331B0D8
ConfigAddr           0x03320A24
PingPtr              0x02D280A8
SafeSpace            0x02AF7000
ImgCkSum             0x6998B4B8
CodeCkSum            0x385AE85E
SystemCkSum          0x7FC5ED16
TimeTablePtr         0x03361170
LogTablePtr          0x033230AC
LogOptsPtr           0x033234C4
CritTablePtr         0x033234C0
MixedConfig          0x00AD3E04
SerialStrPtr         0x0335D514
NewPassiveHookFunc   0x0037D4F4
NewPassiveHookLoc    0x00ADEF30
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04469DC4
flashSemUseOffset    0x00000018
Printf               0x003A8808
Socket               0x0073DAA0
Bind                 0x0073E878
Connect              0x007401F0
Send                 0x00740A38
Recv                 0x00741074
Close                0x00741594
Malloc               0x0038E6E0
Free                 0x003A8C6C
Resched              0x00379000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

