0x261408BF
0xffffffff
0x0     0x00377DDC
0x1     0x0038B6AC
0x3     0x0072FA4C
0x6     0x00386EAC
0x7     0x0037ED4C
0x8     0x0038E6E0
0x9     0x003A8C44
0xa     0x003A87E0
0xf     0x00FBBF44
0x15    0x003B55A8
0x17    0x0037EE38
0x19    0x003C197C
0x20    0x00366E24
0x21    0x00379880
0x22    0x02C00918
0x23    0x00061c00
0x24    0x00083614
0x25    0x48061c03
0x26    0x02C008F4
0x27    0x033279FC
0x28    0x02E61CC8
0x29    0x00DCE658
0x2f    0x0330481C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003DD6A0
0x3c    0x003DDA44
0x3d    0x003DCF30
0x3e    0x003DDD4C
0x3f    0x00DD180C
:EOS:
ArpTableAddrPtr      0x0331B0B8
ConfigAddr           0x03320A04
PingPtr              0x02D280A8
SafeSpace            0x02af5000
ImgCkSum             0x2BDFA8BF
CodeCkSum            0x5BDA9C48
SystemCkSum          0x4037B1FF
TimeTablePtr         0x03361150
LogTablePtr          0x0332308C
LogOptsPtr           0x033234A4
CritTablePtr         0x033234A0
MixedConfig          0x00AD1964
Printf               0x003A87E0
Socket               0x0073CC34
Bind                 0x0073DA0C
Connect              0x0073F384
Send                 0x0073FBCC
Recv                 0x00740208
Close                0x00740728
Malloc               0x0038E6E0
Free                 0x003A8C44
Resched              0x00379000
:EOS:
