0x26140753
0xffffffff
0x0     0x0037BEA4
0x1     0x0038F984
0x3     0x00767DCC
0x6     0x0038B07C
0x7     0x00382ED8
0x8     0x003928C0
0x9     0x003AD3AC
0xa     0x003ACF48
0xf     0x010AEEBC
0x15    0x003BDA84
0x17    0x00382FC4
0x19    0x003CA5DC
0x20    0x00367BC0
0x21    0x0037D880
0x22    0x03400924
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400900
0x28    0x0366F6A8
0x29    0x00EA01D8
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003E65D0
0x3c    0x003E6974
0x3d    0x003E5E60
0x3e    0x003E6C7C
0x3f    0x00EA338C
0x40    0x03966A88
0x41    0xFFFFFE74
0x42    0x0034F72C
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C04
SafeSpace            0x032D1000
ImgCkSum             0x835A7753
CodeCkSum            0x0EA0DA00
SystemCkSum          0x7BB2A587
TimeTablePtr         0x039E4E28
LogTablePtr          0x03961268
LogOptsPtr           0x0395FDA8
CritTablePtr         0x03961278
MixedConfig          0x00B7A7F0
SerialStrPtr         0x039E04CC
NewPassiveHookFunc   0x00381680
NewPassiveHookLoc    0x00B87670
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF1010
flashSemUseOffset    0x00000018
Printf               0x003ACF48
Socket               0x0077533C
Bind                 0x00776114
Connect              0x00777A98
Send                 0x0077833C
Recv                 0x007789CC
Close                0x00778EEC
Malloc               0x003928C0
Free                 0x003AD3AC
Resched              0x0037D000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

