0x26140B47
0xffffffff
0x0     0x0037BDFC
0x1     0x0038FA6C
0x3     0x00768060
0x6     0x0038B07C
0x7     0x00382ED8
0x8     0x003929A8
0x9     0x003AD494
0xa     0x003AD030
0xf     0x010B3858
0x15    0x003BDB6C
0x17    0x00382FC4
0x19    0x003CA6C4
0x20    0x00367B78
0x21    0x0037D880
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366F848
0x29    0x00EA4424
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003E66B8
0x3c    0x003E6A5C
0x3d    0x003E5F48
0x3e    0x003E6D64
0x3f    0x00EA75D8
0x40    0x03966A88
0x41    0xFFFFFE74
0x42    0x0034F698
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C24
SafeSpace            0x032D2000
ImgCkSum             0xE1447B47
CodeCkSum            0x6628C193
SystemCkSum          0xB977884D
TimeTablePtr         0x039E4E30
LogTablePtr          0x03961268
LogOptsPtr           0x0395FDA8
CritTablePtr         0x03961278
MixedConfig          0x00B7C628
SerialStrPtr         0x039E04D4
NewPassiveHookFunc   0x00381680
NewPassiveHookLoc    0x00B894A8
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF11BC
flashSemUseOffset    0x00000018
Printf               0x003AD030
Socket               0x007755D0
Bind                 0x007763A8
Connect              0x00777D2C
Send                 0x007785D0
Recv                 0x00778C60
Close                0x00779180
Malloc               0x003929A8
Free                 0x003AD494
Resched              0x0037D000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

