0x26140E78
0xffffffff
0x0     0x0037BEB4
0x1     0x0038FA6C
0x3     0x0076877C
0x6     0x0038B07C
0x7     0x00382ED8
0x8     0x00392A80
0x9     0x003AD900
0xa     0x003AD49C
0xf     0x010B8690
0x15    0x003BDFD8
0x17    0x00382FC4
0x19    0x003CAB30
0x20    0x00367C1C
0x21    0x0037D880
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366FA2C
0x29    0x00EA923C
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003E6B24
0x3c    0x003E6EC8
0x3d    0x003E63B4
0x3e    0x003E71D0
0x3f    0x00EAC3F0
0x40    0x03966AA8
0x41    0xFFFFFE74
0x42    0x0034F68C
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C24
SafeSpace            0x032DD000
ImgCkSum             0x40E97E78
CodeCkSum            0x5AF063C7
SystemCkSum          0xB6F9F442
TimeTablePtr         0x039E6EBC
LogTablePtr          0x03961290
LogOptsPtr           0x0395FDD0
CritTablePtr         0x039612A0
MixedConfig          0x00B7F888
SerialStrPtr         0x039E2560
NewPassiveHookFunc   0x00381680
NewPassiveHookLoc    0x00B8C828
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF323C
flashSemUseOffset    0x00000018
Printf               0x003AD49C
Socket               0x00775CEC
Bind                 0x00776AC4
Connect              0x00778448
Send                 0x00778CEC
Recv                 0x0077937C
Close                0x0077989C
Malloc               0x00392A80
Free                 0x003AD900
Resched              0x0037D000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

