0x2614019D
0xffffffff
0x0     0x0037C738
0x1     0x0038FAB4
0x3     0x00769D84
0x6     0x0038B080
0x7     0x00382EDC
0x8     0x00392AEC
0x9     0x003AD9D0
0xa     0x003AD56C
0xf     0x010BAE20
0x15    0x003BE0AC
0x17    0x00382FC8
0x19    0x003CAD3C
0x20    0x003683D8
0x21    0x0037D880
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366FACC
0x29    0x00EAB8B0
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003E6D30
0x3c    0x003E70D4
0x3d    0x003E65C0
0x3e    0x003E73DC
0x3f    0x00EAEA64
0x40    0x03966AA8
0x41    0xFFFFFE68
0x42    0x0034F734
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C24
SafeSpace            0x032E0000
ImgCkSum             0x1331D19D
CodeCkSum            0x4100FCA5
SystemCkSum          0xF41B5377
TimeTablePtr         0x039E6EBC
LogTablePtr          0x03961290
LogOptsPtr           0x0395FDD0
CritTablePtr         0x039612A0
MixedConfig          0x00B81544
SerialStrPtr         0x039E2560
NewPassiveHookFunc   0x00381684
NewPassiveHookLoc    0x00B8E4E8
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF323C
flashSemUseOffset    0x00000018
Printf               0x003AD56C
Socket               0x00777304
Bind                 0x007780DC
Connect              0x00779A74
Send                 0x0077A318
Recv                 0x0077A9A8
Close                0x0077AEC8
Malloc               0x00392AEC
Free                 0x003AD9D0
Resched              0x0037D000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

