0x26140169
0xffffffff
0x0     0x0037CB4C
0x1     0x00390B4C
0x3     0x0076D928
0x6     0x0038C100
0x7     0x00383EE8
0x8     0x00393B78
0x9     0x003AECB4
0xa     0x003AE850
0xf     0x010BB09C
0x15    0x003BF36C
0x17    0x00383FD4
0x19    0x003CBF64
0x20    0x00368738
0x21    0x0037E880
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x03670000
0x29    0x00EAD3B4
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003E7EC4
0x3c    0x003E8268
0x3d    0x003E7754
0x3e    0x003E8564
0x3f    0x00EB0568
0x40    0x03966B68
0x41    0xFFFFFE68
0x42    0x0034F014
:EOS:
ArpTableAddrPtr      0x0394AC60
ConfigAddr           0x03957324
PingPtr              0x0352A098
SafeSpace            0x032E9000
ImgCkSum             0x52703169
CodeCkSum            0x331D9B11
SystemCkSum          0x7795EBAF
TimeTablePtr         0x039E6F7C
LogTablePtr          0x03961348
LogOptsPtr           0x0395FE88
CritTablePtr         0x03961358
MixedConfig          0x00B82C44
SerialStrPtr         0x039E2620
NewPassiveHookFunc   0x00382690
NewPassiveHookLoc    0x00B8FBC0
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF32FC
flashSemUseOffset    0x00000018
Printf               0x003AE850
Socket               0x0077AECC
Bind                 0x0077BCA4
Connect              0x0077D63C
Send                 0x0077DEE0
Recv                 0x0077E55C
Close                0x0077EA7C
Malloc               0x00393B78
Free                 0x003AECB4
Resched              0x0037E000
:EOS:

