0x2614059F
0xffffffff
0x0     0x0037B488
0x1     0x0038E8B0
0x3     0x00767B3C
0x6     0x00389F6C
0x7     0x00381D54
0x8     0x003918DC
0x9     0x003AC664
0xa     0x003AC200
0xf     0x01084050
0x15    0x003BCD1C
0x17    0x00381E40
0x19    0x003C9914
0x20    0x0036852C
0x21    0x0037C880
0x22    0x02D0092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02D00908
0x28    0x02F6F3C4
0x29    0x00E935E4
0x2f    0x03221F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02C48034
0x3b    0x003E58A0
0x3c    0x003E5C44
0x3d    0x003E5130
0x3e    0x003E5F40
0x3f    0x00E96768
0x40    0x03266AA8
0x41    0xFFFFFE68
0x42    0x0034F014
:EOS:
ArpTableAddrPtr      0x0324AB4C
ConfigAddr           0x03257210
PingPtr              0x02E29C28
SafeSpace            0x02BFB000
ImgCkSum             0x7D5C759F
CodeCkSum            0x7C882C80
SystemCkSum          0xBBAF5A04
TimeTablePtr         0x032E4048
LogTablePtr          0x03261290
LogOptsPtr           0x0325FDD0
CritTablePtr         0x032612A0
MixedConfig          0x00B6F400
SerialStrPtr         0x032DF6EC
NewPassiveHookFunc   0x003804FC
NewPassiveHookLoc    0x00B7C360
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x035DE66C
flashSemUseOffset    0x00000018
Printf               0x003AC200
Socket               0x007750E0
Bind                 0x00775EB8
Connect              0x00777850
Send                 0x007780F4
Recv                 0x00778770
Close                0x00778C90
Malloc               0x003918DC
Free                 0x003AC664
Resched              0x0037C000
:EOS:

