;
;
;
;
;
0x2518000c            
0xffffffff            
0x0   0x0030DFA0      
0x1   0x0030D6A0      
0x3   0x003081C0      
0x6   0x00C2D800      
0x7   0x00C2DA80      
0x8   0x0009AE20      
0x9   0x0009B6C0      
0xa   0x00C2F1C0      
0xf   0x00B05CA0      
0x15  0x00088D00      
0x17  0x00089040      
0x19  0x0009517C      
0x28  0x00898F8F      
0x29  0x00892A14      
0x3b  0x000AC3A0      
0x3c  0x000AC740      
0x3d  0x000ABEC0      
0x3e  0x000ACA40      
;
0x20  0x00706440      
0x21  0x000940DC      
0x22  0x01A1C6F8      
0x24  0x00093338      
0x27  0x01700A04      
0x2f  0x01DB1340      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A04A2C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01DC3EC0      
ConfigAddr          0x01DC9140      
PingPtr             0x0172500C      
SafeSpace           0x01700000      
CodeCkSum           0xf5086aa7      
ImgCkSum            0x3045800c      
TimeTablePtr        0x01df9d70
CritTablePtr        0x01dcc060
LogTablePtr         0x01dcbbe0
LogOptsPtr          0x01dcc070
;
Printf              0x00C2F1C0      
Socket              0x003156A0      
Bind                0x003162E0      
Connect             0x00319560      
Send                0x0031A040      
Recv                0x0031A2E0      
Close               0x0031A7C0      
Malloc              0x0009AE20      
Free                0x0009B6C0      
Resched             0x00092840      
SyscallTable        0x01700A04      
;
;
;
:EOS:
;
