;
;
;
;
;
0x251807F3            
0xffffffff            
0x0   0x002FF8A0      
0x1   0x002FEFC0      
0x3   0x002F9BC0      
0x6   0x00BF29A0      
0x7   0x00BF2C20      
0x8   0x0009AEA0      
0x9   0x0009B740      
0xa   0x00BF4340      
0xf   0x00ACD720      
0x15  0x00088C60      
0x17  0x00088F80      
0x19  0x00094C30      
0x28  0x008640EF      
0x29  0x0085DB74      
0x3b  0x000AC1A0      
0x3c  0x000AC540      
0x3d  0x000ABCC0      
0x3e  0x000AC840      
;
0x20  0x006EC100      
0x21  0x00094000      
0x22  0x0191A660      
0x24  0x00093258      
0x27  0x01600A04      
0x2f  0x01CAED40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01902994      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01CC18C0      
ConfigAddr          0x01CC6B40      
PingPtr             0x016249FC      
SafeSpace           0x01600000      
CodeCkSum           0x5f807b8c      
ImgCkSum            0x714927f3      
TimeTablePtr        0x01cf7090
CritTablePtr        0x01cc9820
LogTablePtr         0x01cc93a0
LogOptsPtr          0x01cc9830
;
Printf              0x00BF4340      
Socket              0x00306DE0      
Bind                0x00307A20      
Connect             0x0030ACA0      
Send                0x0030B760      
Recv                0x0030BA00      
Close               0x0030BEE0      
Malloc              0x0009AEA0      
Free                0x0009B740      
Resched             0x00092760      
SyscallTable        0x01600A04      
;
;
;
:EOS:
;
