;
;
;
;
;
0x251808D1            
0xffffffff            
0x0   0x00309300      
0x1   0x00308A00      
0x3   0x00303580      
0x6   0x00C18100      
0x7   0x00C18380      
0x8   0x0009AE00      
0x9   0x0009B6A0      
0xa   0x00C19AC0      
0xf   0x00AF0B60      
0x15  0x00088D00      
0x17  0x00089020      
0x19  0x00094CF0      
0x28  0x00884AEF      
0x29  0x0087E574      
0x3b  0x000AC160      
0x3c  0x000AC500      
0x3d  0x000ABC80      
0x3e  0x000AC800      
;
0x20  0x006FBB60      
0x21  0x000940C0      
0x22  0x01A1BE90      
0x24  0x00093318      
0x27  0x01700A04      
0x2f  0x01DB0840      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A041C4      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01DC33C0      
ConfigAddr          0x01DC8640      
PingPtr             0x01724F84      
SafeSpace           0x01700000      
CodeCkSum           0x79e9e61c      
ImgCkSum            0x952218d1      
TimeTablePtr        0x01df8cb0
CritTablePtr        0x01dcb340
LogTablePtr         0x01dcaec0
LogOptsPtr          0x01dcb350
;
Printf              0x00C19AC0      
Socket              0x003108E0      
Bind                0x00311520      
Connect             0x003147A0      
Send                0x00315260      
Recv                0x00315500      
Close               0x003159E0      
Malloc              0x0009AE00      
Free                0x0009B6A0      
Resched             0x00092820      
SyscallTable        0x01700A04      
;
;
;
:EOS:
;
