;
;
;
;
;
0x251804A3            
0xffffffff            
0x0   0x0030B3C0      
0x1   0x0030AAC0      
0x3   0x00305640      
0x6   0x00C23320      
0x7   0x00C235A0      
0x8   0x0009AE20      
0x9   0x0009B6C0      
0xa   0x00C24CE0      
0xf   0x00AFBC40      
0x15  0x00088D00      
0x17  0x00089040      
0x19  0x00094D10      
0x28  0x0088FB8F      
0x29  0x00889614      
0x3b  0x000AC180      
0x3c  0x000AC520      
0x3d  0x000ABCA0      
0x3e  0x000AC820      
;
0x20  0x006FEE00      
0x21  0x000940E0      
0x22  0x01A1BFE8      
0x24  0x00093338      
0x27  0x01700A04      
0x2f  0x01DB0940      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A0431C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01DC34C0      
ConfigAddr          0x01DC8740      
PingPtr             0x01724F84      
SafeSpace           0x01700000      
CodeCkSum           0xba2e3764      
ImgCkSum            0x965834a3      
TimeTablePtr        0x01df9130
CritTablePtr        0x01dcb440
LogTablePtr         0x01dcafc0
LogOptsPtr          0x01dcb450
;
Printf              0x00C24CE0      
Socket              0x00312A80      
Bind                0x003136C0      
Connect             0x00316940      
Send                0x00317400      
Recv                0x003176A0      
Close               0x00317B80      
Malloc              0x0009AE20      
Free                0x0009B6C0      
Resched             0x00092840      
SyscallTable        0x01700A04      
;
;
;
:EOS:
;
