;
;
;
;
;
0x25180884            
0xffffffff            
0x0   0x0030C080      
0x1   0x0030B780      
0x3   0x003062A0      
0x6   0x00C27B80      
0x7   0x00C27E00      
0x8   0x0009AE20      
0x9   0x0009B6C0      
0xa   0x00C29540      
0xf   0x00B00200      
0x15  0x00088D00      
0x17  0x00089040      
0x19  0x0009517C      
0x28  0x0089378F      
0x29  0x0088D214      
0x3b  0x000AC180      
0x3c  0x000AC520      
0x3d  0x000ABCA0      
0x3e  0x000AC820      
;
0x20  0x007024C0      
0x21  0x000940E0      
0x22  0x01A1C560      
0x24  0x00093338      
0x27  0x01700A04      
0x2f  0x01DB1140      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A04894      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01DC3CC0      
ConfigAddr          0x01DC8F40      
PingPtr             0x01724F84      
SafeSpace           0x01700000      
CodeCkSum           0x9031702c      
ImgCkSum            0x2a91b884      
TimeTablePtr        0x01df9b50
CritTablePtr        0x01dcbe60
LogTablePtr         0x01dcb9e0
LogOptsPtr          0x01dcbe70
;
Printf              0x00C29540      
Socket              0x00313740      
Bind                0x00314380      
Connect             0x00317600      
Send                0x003180E0      
Recv                0x00318380      
Close               0x00318860      
Malloc              0x0009AE20      
Free                0x0009B6C0      
Resched             0x00092840      
SyscallTable        0x01700A04      
;
;
;
:EOS:
;
