;
;
;
;
;
0x26180c90            
0xffffffff            
0x0   0x0035FC40      
0x1   0x0035F1E0      
0x3   0x00359BC0      
0x6   0x00CFD080      
0x7   0x00CFD300      
0x8   0x0009C9C0      
0x9   0x0009D140      
0xa   0x00CFEA40      
0xf   0x00BAE560      
0x15  0x0008A5C0      
0x17  0x0008A8E0      
0x19  0x00096610      
0x28  0x0091566F      
0x29  0x0090F094      
0x3b  0x000AF720      
0x3c  0x000AFAC0      
0x3d  0x000AF240      
0x3e  0x000AFDC0      
;
0x20  0x00770D20      
0x21  0x000959E0      
0x22  0x01C04024      
0x24  0x00094C38      
0x27  0x01801624      
0x2f  0x020FF760      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01BEC1BC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02112380      
ConfigAddr          0x02117A00      
PingPtr             0x0184F508      
SafeSpace           0x01800000      
CodeCkSum           0x796fe1cb      
ImgCkSum            0x55fe2c90      
TimeTablePtr        0x02148b30
CritTablePtr        0x0211a720
LogTablePtr         0x0211a2a0
LogOptsPtr          0x0211a730
;
Printf              0x00CFEA40      
Socket              0x003673E0      
Bind                0x00368020      
Connect             0x0036B240      
Send                0x0036BCE0      
Recv                0x0036BF80      
Close               0x0036C460      
Malloc              0x0009C9C0      
Free                0x0009D140      
Resched             0x00094140      
SyscallTable        0x01801624      
;
;
;
:EOS:
;
