;
;
;
;
;
0x2618051a            
0xffffffff            
0x0   0x0036C1A0      
0x1   0x0036B740      
0x3   0x003660E0      
0x6   0x00D23360      
0x7   0x00D235E0      
0x8   0x000A0DE0      
0x9   0x000A1560      
0xa   0x00D24D40      
0xf   0x00BD26C0      
0x15  0x0008B0A0      
0x17  0x0008B3E0      
0x19  0x0009A9F0      
0x28  0x00935C0F      
0x29  0x0092F594      
0x3b  0x000B3B80      
0x3c  0x000B3F20      
0x3d  0x000B36A0      
0x3e  0x000B4220      
;
0x20  0x00786700      
0x21  0x000964E0      
0x22  0x01C0C4AC      
0x24  0x00095738      
0x27  0x01801638      
0x2f  0x0231DC40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01BF4634      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x023308A0      
ConfigAddr          0x02336020      
PingPtr             0x0184FD68      
SafeSpace           0x01800000      
CodeCkSum           0x2bc345a6      
ImgCkSum            0xa94a851a      
TimeTablePtr        0x023671f0
CritTablePtr        0x02338dc0
LogTablePtr         0x02338940
LogOptsPtr          0x02338dd0
;
Printf              0x00D24D40      
Socket              0x003739C0      
Bind                0x00374600      
Connect             0x00377820      
Send                0x003782E0      
Recv                0x00378580      
Close               0x00378A60      
Malloc              0x000A0DE0      
Free                0x000A1560      
Resched             0x00094C40      
SyscallTable        0x01801638      
;
;
;
:EOS:
;
