;
;
;
;
;
0x26180ae5            
0xffffffff            
0x0   0x0036CB80      
0x1   0x0036C120      
0x3   0x00366AC0      
0x6   0x00D25240      
0x7   0x00D254C0      
0x8   0x000A0DE0      
0x9   0x000A1560      
0xa   0x00D26C20      
0xf   0x00BD3C80      
0x15  0x0008B0A0      
0x17  0x0008B3E0      
0x19  0x0009AE9C      
0x28  0x00936F6F      
0x29  0x009308F4      
0x3b  0x000B3B80      
0x3c  0x000B3F20      
0x3d  0x000B36A0      
0x3e  0x000B4220      
;
0x20  0x00787920      
0x21  0x000964E0      
0x22  0x01C0C27C      
0x24  0x00095738      
0x27  0x01801638      
0x2f  0x0231DB40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01BF4404      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02330740      
ConfigAddr          0x02335EC0      
PingPtr             0x0184FD80      
SafeSpace           0x01800000      
CodeCkSum           0xfc782cb9      
ImgCkSum            0x34e92ae5      
TimeTablePtr        0x02367cb0
CritTablePtr        0x02338c60
LogTablePtr         0x023387e0
LogOptsPtr          0x02338c70
;
Printf              0x00D26C20      
Socket              0x003743E0      
Bind                0x00375020      
Connect             0x00378240      
Send                0x00378D00      
Recv                0x00378FA0      
Close               0x00379480      
Malloc              0x000A0DE0      
Free                0x000A1560      
Resched             0x00094C40      
SyscallTable        0x01801638      
;
;
;
:EOS:
;
