;
;
;
;
;
0x261809F3            
0xffffffff            
0x0   0x003A32A0      
0x1   0x003A2840      
0x3   0x0039D060      
0x6   0x00D7B8E0      
0x7   0x00D7BB60      
0x8   0x000A1400      
0x9   0x000A1B80      
0xa   0x00D7D2C0      
0xf   0x00C264A0      
0x15  0x0008B540      
0x17  0x0008B880      
0x19  0x0009AEF0      
0x28  0x0097D1CF      
0x29  0x00976B54      
0x3b  0x000B4180      
0x3c  0x000B4520      
0x3d  0x000B3CA0      
0x3e  0x000B4820      
;
0x20  0x007CC360      
0x21  0x000969C0      
0x22  0x01D12634      
0x24  0x00095C18      
0x27  0x01901638      
0x2f  0x02451940      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01CFA7BC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02467D60      
ConfigAddr          0x0246DAA0      
PingPtr             0x01952294      
SafeSpace           0x01900000      
CodeCkSum           0x2ecd15a6      
ImgCkSum            0x58e0b9f3      
TimeTablePtr        0x024aba50
CritTablePtr        0x02470a80
LogTablePtr         0x02470600 
LogOptsPtr          0x02470a90
;
Printf              0x00D7D2C0      
Socket              0x003AAB40      
Bind                0x003AB780      
Connect             0x003AE9A0      
Send                0x003AF4A0      
Recv                0x003AF740      
Close               0x003AFC20      
Malloc              0x000A1400      
Free                0x000A1B80      
Resched             0x00095100      
SyscallTable        0x01901638      
;
;
;
:EOS:
;
