;
;
;
;
;
0x26180ee4            
0xffffffff            
0x0   0x003A56C0      
0x1   0x003A4C60      
0x3   0x0039F480      
0x6   0x00D81B60      
0x7   0x00D81DE0      
0x8   0x000A1400      
0x9   0x000A1B80      
0xa   0x00D83540      
0xf   0x00C2C660      
0x15  0x0008B540      
0x17  0x0008B880      
0x19  0x0009B39C      
0x28  0x0098254F      
0x29  0x0097BED4      
0x3b  0x000B4180      
0x3c  0x000B4520      
0x3d  0x000B3CA0      
0x3e  0x000B4820      
;
0x20  0x007D0EE0      
0x21  0x000969C0      
0x22  0x01D1215C      
0x24  0x00095C18      
0x27  0x01901638      
0x2f  0x02451C40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01CFA2E4      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02468080      
ConfigAddr          0x0246DDC0      
PingPtr             0x01952300      
SafeSpace           0x01900000      
CodeCkSum           0x3e1f3d8f      
ImgCkSum            0x41ba8ee4      
TimeTablePtr        0x024abd50
CritTablePtr        0x02470d80
LogTablePtr         0x02470900
LogOptsPtr          0x02470d90
;
Printf              0x00D83540      
Socket              0x003ACF80      
Bind                0x003ADBC0      
Connect             0x003B0DE0      
Send                0x003B18E0      
Recv                0x003B1B80      
Close               0x003B2060      
Malloc              0x000A1400      
Free                0x000A1B80      
Resched             0x00095100      
SyscallTable        0x01901638      
;
;
;
:EOS:
;
