;
;
;
;
;
0x26180b01            
0xffffffff            
0x0   0x003A6080      
0x1   0x003A5620      
0x3   0x0039FE40      
0x6   0x00D84580      
0x7   0x00D84800      
0x8   0x000A1400      
0x9   0x000A1B80      
0xa   0x00D85F60      
0xf   0x00C2E460      
0x15  0x0008B540      
0x17  0x0008B880      
0x19  0x0009B39C      
0x28  0x00983FEF      
0x29  0x0097D974      
0x3b  0x000B4180      
0x3c  0x000B4520      
0x3d  0x000B3CA0      
0x3e  0x000B4820      
;
0x20  0x007D3E40      
0x21  0x000969C0      
0x22  0x01D123C4      
0x24  0x00095c18      
0x27  0x01901638      
0x2f  0x02451C40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01CFA54C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02468080      
ConfigAddr          0x0246DDC0      
PingPtr             0x01952300      
SafeSpace           0x01900000      
CodeCkSum           0x2ed34e83      
ImgCkSum            0x9a5efb01      
TimeTablePtr        0x024abf50
CritTablePtr        0x02470d80
LogTablePtr         0x02470900
LogOptsPtr          0x02470d90
;
Printf              0x00D85F60      
Socket              0x003AD940      
Bind                0x003AE580      
Connect             0x003B17A0      
Send                0x003B22A0      
Recv                0x003B2540      
Close               0x003B2A20      
Malloc              0x000A1400      
Free                0x000A1B80      
Resched             0x00095100      
SyscallTable        0x01901638      
;
;
;
:EOS:
;
