;
;
;
;
;
0x26180e42            
0xffffffff            
0x0   0x003DBC20      
0x1   0x003DB160      
0x3   0x003D49C0      
0x6   0x00E576E0      
0x7   0x00E57980      
0x8   0x000A2860      
0x9   0x000A3180      
0xa   0x00E58FA0      
0xf   0x00CD68E0      
0x15  0x0008B800      
0x17  0x0008BB40      
0x19  0x0009C63C      
0x28  0x00A1A1CF      
0x29  0x00A13AF4      
0x3b  0x000B6A20      
0x3c  0x000B6DC0      
0x3d  0x000B6540      
0x3e  0x000B70C0      
;
0x20  0x0084FB80      
0x21  0x00096F40      
0x22  0x01E358C8      
0x24  0x00096198     
0x27  0x01A01638      
0x2f  0x02593DC0      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01E1DA34      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x025AB360      
ConfigAddr          0x025B1240      
PingPtr             0x01A56B5C      
SafeSpace           0x01A00000      
CodeCkSum           0xb1c36448      
ImgCkSum            0xd4c6ae42      
TimeTablePtr        0x025f1e10
CritTablePtr        0x025b4260
LogTablePtr         0x025b3de0
LogOptsPtr          0x025b4270
;
Printf              0x00E58FA0      
Socket              0x003E35C0      
Bind                0x003E4240      
Connect             0x003E7540      
Send                0x003E8040      
Recv                0x003E82E0      
Close               0x003E86E0      
Malloc              0x000A2860      
Free                0x000A3180      
Resched             0x0008D3C0      
SyscallTable        0x01A01638      
;
;
;
:EOS:
;
