;
;
;
;
0x26180254                  
0xffffffff                  
0x0     0x003E5000          
0x1     0x003E4540          
0x3     0x003DDD80          
0x6     0x00E760E0          
0x7     0x00E76380          
0x8     0x000A3220          
0x9     0x000A3B40          
0xa     0x00E779A0          
0xf     0x00CF2080          
0x15    0x0008C000          
0x17    0x0008C340          
0x19    0x0009CAD0          
0x28    0x01BE4DA0          
0x29    0x00A2CE14          
0x3b    0x000B7520          
0x3c    0x000B78C0          
0x3d    0x000B7040          
0x3e    0x000B7BC0          
0x3f    0x00A30060          
0x20    0x00865960          
0x21    0x00097860          
0x22    0x01E3DD64          
0x24    0x00096AB8          
0x27    0x01A01638          
0x2f    0x0259C140          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01E1F54C          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x025B46E0             
ConfigAddr           0x025BA5C0             
PingPtr              0x01A56C38             
SafeSpace            0x01A00000             
CodeCkSum            0xCF45BD04             
ImgCkSum             0xC5ADE254             
TimeTablePtr         0x025FB210             
CritTablePtr         0x025BD5E0             
LogTablePtr          0x025BD160             
LogOptsPtr           0x025BD5F0             
;
Printf               0x00E779A0             
Socket               0x003EC960             
Bind                 0x003ED5E0             
Connect              0x003F08E0             
Send                 0x003F13E0             
Recv                 0x003F1680             
Close                0x003F1A80             
Malloc               0x000A3220             
Free                 0x000A3B40             
Resched              0x00095F80             
SyscallTable         0x01A01638             
;
;
:EOS
;

