;
;
;
;
;
0x261a0b9c            
0xffffffff            
0x0   0x00428CE0      
0x1   0x004285F0      
0x3   0x00423AA0      
0x6   0x00C04820      
0x7   0x00C04A90      
0x8   0x001246E0      
0x9   0x00124E50      
0xa   0x00C050E0      
0xf   0x00AF6D90      
0x15  0x0010A580      
0x17  0x00109690      
0x19  0x00117C0D      
0x28  0x009857CE      
0x29  0x00980340      
0x3b  0x00199B80      
0x3c  0x00199E80      
0x3d  0x001993B0      
0x3e  0x0019A100      
;
0x20  0x0015B390      
0x21  0x00106F30      
0x22  0x015D28CC      
0x24  0x00112A69      
0x2f  0x01A1B638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015BA024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A37D60      
ConfigAddr          0x01A431EC      
PingPtr             0x0162D278      
SafeSpace           0x01916040      
ImgCkSum            0xf0cbd1a0      
CodeCkSum           0xf0cbd1a0      
TimeTablePtr        0x01abd390
CritTablePtr        0x01a4bb90
LogTablePtr         0x01a4bb80
LogOptsPtr          0x01a4a6b0
;
Printf              0x00C050E0      
Socket              0x0042F7B0      
Bind                0x004303A0      
Connect             0x004331E0      
Send                0x00433300      
Recv                0x004337F0      
Close               0x00433C80      
Malloc              0x001246E0      
Free                0x00124E50      
Resched             0x00112100      
;
;
;
:EOS:
;
