;
;
;
;
;
0x261a0ca7            
0xffffffff            
0x0   0x00429190      
0x1   0x00428AA0      
0x3   0x00423F50      
0x6   0x00C05530      
0x7   0x00C057A0      
0x8   0x001246E0      
0x9   0x00124E50      
0xa   0x00C05DF0      
0xf   0x00AF7A90      
0x15  0x0010A580      
0x17  0x00109070      
0x19  0x001178D9      
0x28  0x0098634E      
0x29  0x00980EC0      
0x3b  0x001998B0      
0x3c  0x00199BB0      
0x3d  0x001990E0      
0x3e  0x00199E30      
;
0x20  0x0015B5B0      
0x21  0x00106F30      
0x22  0x015D28CC      
0x24  0x00112A69      
0x2f  0x01A1B638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015BA024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A37D20      
ConfigAddr          0x01A431AC      
PingPtr             0x0162D298      
SafeSpace           0x0effe000      
ImgCkSum            0x2178f24c      
CodeCkSum           0x2178f24c      
TimeTablePtr        0x01abdf50
CritTablePtr        0x01a4bb50
LogTablePtr         0x01a4bb40
LogOptsPtr          0x01a4a670
;
Printf              0x00C05DF0      
Socket              0x0042FC70      
Bind                0x00430860      
Connect             0x004336A0      
Send                0x004337C0      
Recv                0x00433CB0      
Close               0x00434140      
Malloc              0x001246E0      
Free                0x00124E50      
Resched             0x00112100      
;
;
;
:EOS:
;
