;
;
;
;
;
0x261a0c46            
0xffffffff            
0x0   0x004292D0      
0x1   0x00428BE0      
0x3   0x00424090      
0x6   0x00C05DA0      
0x7   0x00C06010      
0x8   0x001246E0      
0x9   0x00124E50      
0xa   0x00C06660      
0xf   0x00AF7B30      
0x15  0x0010A580      
0x17  0x00109070      
0x19  0x001178D9      
0x28  0x009862CE      
0x29  0x00980E40      
0x3b  0x001998D0      
0x3c  0x00199BD0      
0x3d  0x00199100      
0x3e  0x00199E50      
;
0x20  0x0015B5D0      
0x21  0x00106F30      
0x22  0x015D28CC      
0x24  0x00112A69      
0x2f  0x01A1B63C      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015BA024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A37D20      
ConfigAddr          0x01A4318C      
PingPtr             0x0162D298      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x54397783      
CodeCkSum           0x54397783      
TimeTablePtr        0x01abdf30
CritTablePtr        0x01a4bb30
LogTablePtr         0x01a4bb20
LogOptsPtr          0x01a4a650
;
Printf              0x00C06660      
Socket              0x0042FDD0      
Bind                0x004309C0      
Connect             0x00433800      
Send                0x00433920      
Recv                0x00433E30      
Close               0x004342C0      
Malloc              0x001246E0      
Free                0x00124E50      
Resched             0x00112100      
;
;
;
:EOS:
;
