;
;
;
;
;
0x261a099d            
0xffffffff            
0x0   0x00462D00      
0x1   0x00462610      
0x3   0x0045D910      
0x6   0x00D1A780      
0x7   0x00D1A9F0      
0x8   0x00124D30      
0x9   0x001254A0      
0xa   0x00D1B040      
0xf   0x00C024C0      
0x15  0x0010AC50      
0x17  0x00109D60      
0x19  0x0011834D      
0x28  0x009DADEE      
0x29  0x009D5960      
0x3b  0x0019A930      
0x3c  0x0019AC30      
0x3d  0x0019A160      
0x3e  0x0019AEB0      
;
0x20  0x0015BE20      
0x21  0x00107560      
0x22  0x017388CC      
0x24  0x00113159      
0x2f  0x01B9F798      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01720024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01BC4C40      
ConfigAddr          0x01BD06EC      
PingPtr             0x01794D98      
SafeSpace           0x0190d040      
ImgCkSum            0x81b27ddd      
CodeCkSum           0x81b27ddd      
TimeTablePtr        0x01c57350
CritTablePtr        0x01bd92d0
LogTablePtr         0x01bd92c0
LogOptsPtr          0x01bd7df0
;
Printf              0x00D1B040      
Socket              0x00469810      
Bind                0x0046A400      
Connect             0x0046D240      
Send                0x0046D360      
Recv                0x0046D8B0      
Close               0x0046DD50      
Malloc              0x00124D30      
Free                0x001254A0      
Resched             0x001127E0      
;
;
;
:EOS:
;
