;
;
;
;
0x261A086E                  
0xffffffff                  
0x0     0x0046C1B0          
0x1     0x0046BAC0          
0x3     0x00466D70          
0x6     0x00D32F90          
0x7     0x00D33200          
0x8     0x00125600          
0x9     0x00125D70          
0xa     0x00D33860          
0xf     0x00C18830          
0x15    0x0010AC50          
0x17    0x00109D60          
0x19    0x00118C1D          
0x20    0x0015E850          
0x21    0x00107560          
0x22    0x0175A8CC          
0x24    0x00113269          
0x28    0x018BCB6C          
0x29    0x009E7B00          
0x2f    0x01BC5A94          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01742024          
0x3b    0x0019E5B0          
0x3c    0x0019E8B0          
0x3d    0x0019DDE0          
0x3e    0x0019EB30          
0x3f    0x009EA9D0          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01BEAFA0             
ConfigAddr           0x01BF6A4C             
PingPtr              0x017BA198             
SafeSpace            0x00000000             
CodeCkSum            0x25d8509c             
ImgCkSum             0x25d8509c             
Printf               0x00D33860             
Socket               0x00472CB0             
Bind                 0x004738A0             
Connect              0x004766E0             
Send                 0x00476800             
Recv                 0x00476D50             
Close                0x004771E0             
Malloc               0x00125600             
Free                 0x00125D70             
Resched              0x001128F0             
TimeTablePtr         0x01C7DB30             
CritTablePtr         0x01BFF630             
LogTablePtr          0x01BFF620             
LogOptsPtr           0x01BFE150             
;
;
:EOS:
;
;

