;
;
;
;
0x261A06FA                  
0xffffffff                  
0x0     0x004ADA50          
0x1     0x004AD360          
0x3     0x004A78A0          
0x6     0x00E06500          
0x7     0x00E06790          
0x8     0x00126FF0          
0x9     0x001277B0          
0xa     0x00E06E00          
0xf     0x00CC1D90          
0x15    0x0010BB40          
0x17    0x0010ACD0          
0x19    0x0011A0EF          
0x20    0x00164240          
0x21    0x001083E0          
0x22    0x0189C948          
0x24    0x00114489          
0x28    0x01A1678C          
0x29    0x00A82B00          
0x2f    0x01D38474          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x0187D024          
0x3b    0x001AB0C0          
0x3c    0x001AB3C0          
0x3d    0x001AA8F0          
0x3e    0x001AB640          
0x3f    0x00A859D0          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01D60780             
ConfigAddr           0x01D6C60C             
PingPtr              0x01900CF8             
SafeSpace            0x00000000             
ImgCkSum             0x23315CEC             
CodeCkSum            0x23315CEC             
SystemCkSum          0x00092C39             
TimeTablePtr         0x01DF69F0             
LogTablePtr          0x01D762E0             
LogOptsPtr           0x01D74BDC             
CritTablePtr         0x01D762F0             
MixedConfig          0x00801460             
Printf               0x00E06E00             
Socket               0x004B46A0             
Bind                 0x004B52B0             
Connect              0x004B8170             
Send                 0x004B8290             
Recv                 0x004B87E0             
Close                0x004B8C70             
Malloc               0x00126FF0             
Free                 0x001277B0             
Resched              0x00113B20             
;
;
:EOS:
;
