;
;
;
;
0x261A02B2            
0xffffffff            
0x0   0x004F6590      
0x1   0x004F5C80      
0x3   0x004EF9E0      
0x6   0x00F06330      
0x7   0x00F06560      
0x8   0x00126510      
0x9   0x00126D20      
0xa   0x00F079B0      
0xf   0x00DAC2E0      
0x15  0x0010C1F0      
0x17  0x0010C510      
0x19  0x0011A71D      
0x28  0x01bc3a2c      
0x29  0x00B61E10      
0x3b  0x001B8390      
0x3c  0x001B8670      
0x3d  0x001B7E80      
0x3e  0x001B88E0      
0x3f  0x00B64F50      
0x20  0x0016C310      
0x21  0x00116870      
0x22  0x01a3f79c      
0x24  0x00115E13      
0x2f  0x01F0F4C0      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A27024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01F37500      
ConfigAddr          0x01F44338      
PingPtr             0x01aa5898
TimeTablePtr        0x01fd1610
LogTablePtr         0x01f4e464
CritTablePtr        0x01f4e474
LogOptsPtr          0x01f4ce58
SafeSpace           0xFFFFFFFF      
;
ImgCkSum            0x1e166ca4      
CodeCkSum           0x1e166ca4      
;
Printf              0x00F079B0      
Socket              0x004FD440      
Bind                0x004FDE40      
Connect             0x00500e60      
Send                0x00501650      
Recv                0x00501BE0      
Close               0x00502070      
Malloc              0x00126510      
Free                0x00126D20      
Resched             0x00115410      
;
;
;
:EOS:
;
