0x261A0AF9                  
0xffffffff                  
0x0     0x004F9C90          
0x1     0x004F9380          
0x3     0x004F30D0          
0x6     0x00F107E0          
0x7     0x00F10A10          
0x8     0x00126FC0          
0x9     0x001277D0          
0xa     0x00F11E60          
0xf     0x00DB5030          
0x15    0x0010CC30          
0x17    0x0010CF50          
0x19    0x0011B1BF          
0x20    0x0016DAA0          
0x21    0x0010A3B0          
0x22    0x01A5579C          
0x24    0x00116879          
0x28    0x01BDA02C          
0x29    0x00B69610          
0x2f    0x01F29760          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01A36024          
0x3b    0x001B9E10          
0x3c    0x001BA0F0          
0x3d    0x001B9900          
0x3e    0x001BA360          
0x3f    0x00B6C750          
:EOS:
ArpTableAddrPtr      0x01F51800             
ConfigAddr           0x01F5E638             
PingPtr              0x01ABB938             
SafeSpace            0x00000000             
ImgCkSum             0x23CA4425             
CodeCkSum            0x23CA4425             
SystemCkSum          0x0024C068             
TimeTablePtr         0x01FEBA30             
LogTablePtr          0x01F688A0             
LogOptsPtr           0x01F671A0             
CritTablePtr         0x01F688B0             
MixedConfig          0x008C2230             
Printf               0x00F11E60             
Socket               0x00500B40             
Bind                 0x00501540             
Connect              0x00504570             
Send                 0x00504D60             
Recv                 0x005052F0             
Close                0x00505780             
Malloc               0x00126FC0             
Free                 0x001277D0             
Resched              0x00115E80             
:EOS:
