;
;
;
;
0x261A0390                  
0xffffffff                  
0x0     0x004F9C90          
0x1     0x004F9380          
0x3     0x004F30D0          
0x6     0x00F13F90          
0x7     0x00F141C0          
0x8     0x00126FC0          
0x9     0x001277D0          
0xa     0x00F15610          
0xf     0x00DB7130          
0x15    0x0010CC30          
0x17    0x0010CF50          
0x19    0x0011B1BF          
0x20    0x0016DB50          
0x21    0x0010A3B0          
0x22    0x01A5B79C			
0x24    0x00116879          
0x28    0x01BE022C          
0x29    0x00B6B6B0          
0x2f    0x01F2F760          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01A3C024          
0x3b    0x001BA0F0          
0x3c    0x001BA3D0          
0x3d    0x001B9BE0          
0x3e    0x001BA640          
0x3f    0x00B6E7F0          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01F57800             
ConfigAddr           0x01F646A8             
PingPtr              0x01AC1978             
SafeSpace            0x00000000             
ImgCkSum             0x510E0916             
CodeCkSum            0x510E0916             
SystemCkSum          0x00A93C5F             
TimeTablePtr         0x01FF3B30             
LogTablePtr          0x01F6E940             
LogOptsPtr           0x01F6D240             
CritTablePtr         0x01F6E950             
MixedConfig          0x008C4070             
Printf               0x00F15610             
Socket               0x00500B40             
Bind                 0x00501540             
Connect              0x00504570             
Send                 0x00504D60             
Recv                 0x005052F0             
Close                0x00505780             
Malloc               0x00126FC0             
Free                 0x001277D0             
Resched              0x00115E80             
;
;
:EOS:
;
