;
;
;
;
;
0x2517057f            
0xffffffff            
0x0   0x003BA880      
0x1   0x003BA010      
0x3   0x003B5690      
0x6   0x00B0A0D0      
0x7   0x00B0A330      
0x8   0x0011F240      
0x9   0x0011DEA0      
0xa   0x00B0A960      
0xf   0x00A2CB70      
0x15  0x001088A0      
0x17  0x001079B0      
0x19  0x001123EE      
0x28  0x008E56BE      
0x29  0x008E02A0      
0x3b  0x0017FB10      
0x3c  0x0017FE10      
0x3d  0x0017F340      
0x3e  0x00180090      
;
0x20  0x00149000      
0x21  0x00106560      
0x22  0x014698AC      
0x24  0x00110CE9      
0x2f  0x01852384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01451024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0186E520      
ConfigAddr          0x01879354      
PingPtr             0x0149F098      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x16aa494d      
CodeCkSum           0x16aa494d      
TimeTablePtr        0x018f29f0
CritTablePtr        0x01881d30
LogTablePtr         0x01881d20
LogOptsPtr          0x0188084c
;
Printf              0x00B0A960      
Socket              0x003C0F80      
Bind                0x003C1B70      
Connect             0x003C49B0      
Send                0x003C4AD0      
Recv                0x003C4FE0      
Close               0x003C5470      
Malloc              0x0011F240      
Free                0x0011DEA0      
Resched             0x00110390      
;
;
;
:EOS:
;
