;
;
;
;
;
0x25170F83            
0xffffffff            
0x0   0x003BDED0      
0x1   0x003BD660      
0x3   0x003B8CA0      
0x6   0x00B16290      
0x7   0x00B16500      
0x8   0x0011F740      
0x9   0x0011E3A0      
0xa   0x00B16B30      
0xf   0x00A382D0      
0x15  0x001088F0      
0x17  0x001073D0      
0x19  0x001126EC      
0x28  0x008ED0AE      
0x29  0x008E7BE0      
0x3b  0x001810E0      
0x3c  0x001813E0      
0x3d  0x00180910      
0x3e  0x00181660      
;
0x20  0x00149A10      
0x21  0x001065A0      
0x22  0x014798AC      
0x24  0x00110F19      
0x2f  0x018623A4      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01461024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0187E540      
ConfigAddr          0x01889394      
PingPtr             0x014AF078      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0xB483FF83      
CodeCkSum           0xB483FF83      
TimeTablePtr        0x01902b10
CritTablePtr        0x01891d70
LogTablePtr         0x01891d60
LogOptsPtr          0x0189088c
;
Printf              0x00B16B30      
Socket              0x003C45E0      
Bind                0x003C51D0      
Connect             0x003C8010      
Send                0x003C8130      
Recv                0x003C8640      
Close               0x003C8AD0      
Malloc              0x0011F740      
Free                0x0011E3A0      
Resched             0x00110590      
;
;
;
:EOS:
;
