;
;
;
;
;
0x25170098            
0xffffffff            
0x0   0x003B2AD0      
0x1   0x003B2280      
0x3   0x003AD9F0      
0x6   0x00AE2A10      
0x7   0x00AE2C70      
0x8   0x0011E100      
0x9   0x0011CD60      
0xa   0x00AE32A0      
0xf   0x00A06920      
0x15  0x00107780      
0x17  0x001068B0      
0x19  0x001115CD      
0x28  0x008C01DE      
0x29  0x008BADC0      
0x3b  0x0017DD10      
0x3c  0x0017E010      
0x3d  0x0017D540      
0x3e  0x0017E290      
;
0x20  0x00147FF0      
0x21  0x00105480      
0x22  0x0143A8AC      
0x24  0x0010FB99      
0x2f  0x01821384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01422024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0183D540      
ConfigAddr          0x01848374      
PingPtr             0x0146FA98      
SafeSpace           0x016F0000      
ImgCkSum            0x5ff4b7c1      
CodeCkSum           0x5ff4b7c1      
TimeTablePtr        0x018c1290
CritTablePtr        0x01850b30
LogTablePtr         0x01850b20
LogOptsPtr          0x0184f64c
;
Printf              0x00AE32A0      
Socket              0x003B9110      
Bind                0x003B9D00      
Connect             0x003BCB30      
Send                0x003BCC50      
Recv                0x003BD130      
Close               0x003BD5C0      
Malloc              0x0011E100      
Free                0x0011CD60      
Resched             0x0010F250      
;
;
;
:EOS:
;
